HK.香港.A | 直连,1676532761072,1676532761072,22007514,22007514
HK.香港.B | 中转,1676532761072,1676532761072,713021557.5,713021557.5
US.美国.C | 专线.IPLC,1676532761072,1676532761072,10954967345,10954967345
JP.东京.C | 中转,1676532761072,1676532761072,135211053,135211053
JP.东京.C | 中转,1676532761072,1676532761076,160595028,25383975
HK.香港.A | 中转,1676532761072,1676532761072,31381397.5,31381397.5
US.美国.B | 中转,1676532761072,1676532761072,82475255,82475255
US.美国.B | 中转,1676532761072,1676532761076,83857650,1382395
HK.香港.B | 直连,1676532761072,1676532761072,21608422,21608422
HK.香港.E | 专线.IEPL,1676532761072,1676532761072,18989110,18989110

HK.香港.A | 直连,1676533051255,1676533051255,22007514,22007514
HK.香港.B | 中转,1676533051255,1676533051255,713021557.5,713021557.5
US.美国.C | 专线.IPLC,1676533051255,1676533051255,10954967345,10954967345
JP.东京.C | 中转,1676533051255,1676533051255,135211053,135211053
JP.东京.C | 中转,1676533051255,1676533051260,160595028,25383975
HK.香港.A | 中转,1676533051255,1676533051255,31381397.5,31381397.5
US.美国.B | 中转,1676533051255,1676533051255,82475255,82475255
US.美国.B | 中转,1676533051255,1676533051260,83857650,1382395
HK.香港.B | 直连,1676533051255,1676533051255,21608422,21608422
HK.香港.E | 专线.IEPL,1676533051255,1676533051255,18989110,18989110

HK.香港.A | 直连,1676533056926,1676533056926,22007514,22007514
HK.香港.B | 中转,1676533056926,1676533056926,713021557.5,713021557.5
US.美国.C | 专线.IPLC,1676533056926,1676533056926,10954967345,10954967345
JP.东京.C | 中转,1676533056926,1676533056926,135211053,135211053
JP.东京.C | 中转,1676533056926,1676533056929,160595028,25383975
HK.香港.A | 中转,1676533056926,1676533056926,31381397.5,31381397.5
US.美国.B | 中转,1676533056926,1676533056926,82475255,82475255
US.美国.B | 中转,1676533056926,1676533056929,83857650,1382395
HK.香港.B | 直连,1676533056926,1676533056926,21608422,21608422
HK.香港.E | 专线.IEPL,1676533056926,1676533056926,18989110,18989110

HK.香港.A | 直连,1676533097733,1676533097733,22007514,22007514
HK.香港.B | 中转,1676533097733,1676533097733,713021557.5,713021557.5
US.美国.C | 专线.IPLC,1676533097733,1676533097733,10954967345,10954967345
JP.东京.C | 中转,1676533097733,1676533097733,135211053,135211053
JP.东京.C | 中转,1676533097733,1676533097737,160595028,25383975
HK.香港.A | 中转,1676533097733,1676533097733,31381397.5,31381397.5
US.美国.B | 中转,1676533097733,1676533097733,82475255,82475255
US.美国.B | 中转,1676533097733,1676533097737,83857650,1382395
HK.香港.B | 直连,1676533097733,1676533097733,21608422,21608422
HK.香港.E | 专线.IEPL,1676533097733,1676533097733,18989110,18989110

HK.香港.A | 直连,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,22007514,22007514
HK.香港.B | 中转,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,713021557.5,713021557.5
US.美国.C | 专线.IPLC,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,10954967345,10954967345
JP.东京.C | 中转,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,135211053,135211053
JP.东京.C | 中转,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,160595028,25383975
HK.香港.A | 中转,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,31381397.5,31381397.5
US.美国.B | 中转,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,82475255,82475255
US.美国.B | 中转,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,83857650,1382395
HK.香港.B | 直连,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,21608422,21608422
HK.香港.E | 专线.IEPL,Thu Feb 16 202315:48:39 ,Thu Feb 16 202315:48:39 ,18989110,18989110

HK.香港.A | 直连,2023-02-16 07:51:33.675,2023-02-16 07:51:33.675,22007514,22007514
HK.香港.B | 中转,2023-02-16 07:51:33.675,2023-02-16 07:51:33.675,713021557.5,713021557.5
US.美国.C | 专线.IPLC,2023-02-16 07:51:33.675,2023-02-16 07:51:33.675,10954967345,10954967345
JP.东京.C | 中转,2023-02-16 07:51:33.675,2023-02-16 07:51:33.675,135211053,135211053
JP.东京.C | 中转,2023-02-16 07:51:33.675,2023-02-16 07:51:33.684,160595028,25383975
HK.香港.A | 中转,2023-02-16 07:51:33.675,2023-02-16 07:51:33.675,31381397.5,31381397.5
US.美国.B | 中转,2023-02-16 07:51:33.675,2023-02-16 07:51:33.675,82475255,82475255
US.美国.B | 中转,2023-02-16 07:51:33.675,2023-02-16 07:51:33.684,83857650,1382395
HK.香港.B | 直连,2023-02-16 07:51:33.675,2023-02-16 07:51:33.675,21608422,21608422
HK.香港.E | 专线.IEPL,2023-02-16 07:51:33.675,2023-02-16 07:51:33.675,18989110,18989110

HK.香港.A | 直连,2023-02-16 15:51:27.247,2023-02-16 15:51:27.247,22007514,22007514
HK.香港.B | 中转,2023-02-16 15:51:27.247,2023-02-16 15:51:27.247,713021557.5,713021557.5
US.美国.C | 专线.IPLC,2023-02-16 15:51:27.247,2023-02-16 15:51:27.247,10954967345,10954967345
JP.东京.C | 中转,2023-02-16 15:51:27.247,2023-02-16 15:51:27.247,135211053,135211053
JP.东京.C | 中转,2023-02-16 15:51:27.247,2023-02-16 15:51:27.254,160595028,25383975
HK.香港.A | 中转,2023-02-16 15:51:27.247,2023-02-16 15:51:27.247,31381397.5,31381397.5
US.美国.B | 中转,2023-02-16 15:51:27.247,2023-02-16 15:51:27.247,82475255,82475255
US.美国.B | 中转,2023-02-16 15:51:27.247,2023-02-16 15:51:27.254,83857650,1382395
HK.香港.B | 直连,2023-02-16 15:51:27.247,2023-02-16 15:51:27.247,21608422,21608422
HK.香港.E | 专线.IEPL,2023-02-16 15:51:27.247,2023-02-16 15:51:27.247,18989110,18989110

HK.香港.A | 直连,2023-02-16 15:53:20.427,2023-02-16 15:53:20.427,22007514,-1
HK.香港.B | 中转,2023-02-16 15:53:20.427,2023-02-16 15:53:20.427,713021557.5,-1
US.美国.C | 专线.IPLC,2023-02-16 15:53:20.427,2023-02-16 15:53:20.427,10954967345,-1
JP.东京.C | 中转,2023-02-16 15:53:20.427,2023-02-16 15:53:20.427,135211053,-1
JP.东京.C | 中转,2023-02-16 15:53:20.427,2023-02-16 15:53:20.432,160595028,-1
HK.香港.A | 中转,2023-02-16 15:53:20.427,2023-02-16 15:53:20.427,31381397.5,-1
US.美国.B | 中转,2023-02-16 15:53:20.427,2023-02-16 15:53:20.427,82475255,-1
US.美国.B | 中转,2023-02-16 15:53:20.427,2023-02-16 15:53:20.432,83857650,-1
HK.香港.B | 直连,2023-02-16 15:53:20.427,2023-02-16 15:53:20.427,21608422,-1
HK.香港.E | 专线.IEPL,2023-02-16 15:53:20.427,2023-02-16 15:53:20.427,18989110,-1

HK.香港.A | 直连	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.287, 22007514,-1
HK.香港.B | 中转	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.287, 713021557.5,-1
US.美国.C | 专线.IPLC	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.287, 10954967345,-1
JP.东京.C | 中转	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.287, 135211053,-1
JP.东京.C | 中转	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.291, 160595028,-1
HK.香港.A | 中转	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.287, 31381397.5,-1
US.美国.B | 中转	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.287, 82475255,-1
US.美国.B | 中转	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.291, 83857650,-1
HK.香港.B | 直连	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.287, 21608422,-1
HK.香港.E | 专线.IEPL	,2023-02-16 15:54:40.287, 2023-02-16 15:54:40.287, 18989110,-1

HK.香港.A | 直连		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.519, 22007514,-1
HK.香港.B | 中转		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.519, 713021557.5,-1
